"city","country","continent","SYSTEM","date_metro_commenced","metro_length","STATIONS","STATIONS1","LINES","AVG_STATION_DISTANCE","AVG_LINE_LENGTH","STATIONS_PER_LINE","DAILY_RIDERSHIP","RIDERSHIP_PER_KM","ANNUAL_RIDERSHIP","RIDERSHIP_YEAR","FARE","TRACKS","GAUGE","POWER_SUPPLY","VOLTAGE","DRIVERLESS","RUBBER_TYRED","DRIVERLESS_SINCE","PLATFORM_SCREEN_DOORS","AIRCON_TRAINS","WALK_THROUGH","REMARKS","year_metro_commenced"
"Bangalore","India","Asia","Metro","15 Sep 2011",24.4,25,25,2,"1,061 m",12.2,12.5,"","","",NA,"","","","","","","",NA,"","","","",2011
"Bangkok","Thailand","Asia","Skytrain, MRT","5 Dec 1999",86.4,61,55,4,"1,516 m",21.6,15.3,"671,000","7,770","245 million",2011,"0.64 EUR","left","1435","linear","","Green line","",1999,"Green line, Blue line","yes","","",1999
"Barcelona","Spain","Europe","Metro","30 Dec 1924",139.4,178,147,11,"835 m",12.7,16.2,"1.07 million","7,650","389 million",2011,"1.35 EUR","right","1435","third rail (TMB), overhead wire (FGC)","1200","lines L9, L10, L11","",2009,"lines L9, L10, L11","yes","yes","Tram lines not included (1.8 km subway tram line, T5)",1924
"Beijing","China","Asia","Subway","1 Oct 1969",554,334,278,18,"1,753 m",30.8,18.6,"6.74 million","12,200","2,460 million",2012,"0.15 EUR","right","1435","third rail","825","","",NA,"PGDs on lines 5, 13. PSDs on lines 8, 10","yes","all lines","",1969
"Belo Horizonte","Brazil","America","Metré","1 Aug 1986",28.1,19,19,1,"1,563 m",28.1,19,"","","",NA,"","right","","","","","",NA,"","","","According to official website",1986
"Berlin","Germany","Europe","U-Bahn","18 Feb 1902",147.4,195,173,10,"797 m",14.7,19.5,"1.38 million","9,390","505 million",2011,"2.10 EUR","right","1435","third rail","750","","",NA,"","","yes","",1902
"Bielefeld","Germany","Europe","Stadtbahn","21 Sep 1971",5.2,7,7,4,"1,733 m",1.3,1.8,"","","",NA,"","right","","","","","",NA,"","","","Full metro section length unknown. Only metro section included",1971
"Bilbao","Spain","Europe","Metro","11 Nov 1995",43.4,41,41,2,"1,113 m",21.7,20.5,"247,000","5,680","90 million",2011,"","left","1000","overhead wire","1500","","",NA,"","yes","yes","According to Metro Bilbao",1995
"Bochum","Germany","Europe","Stadtbahn","26 May 1979",21.5,29,27,2,"797 m",10.8,14.5,"","","",NA,"","right","1435","overhead wire","660","","",NA,"","","","Rhein-Ruhr Stadtbahn Album 2",1979
"Bonn","Germany","Europe","Stadtbahn","22 Mar 1975",9,12,12,1,"818 m",9,12,"","","",NA,"","right","1435","overhead wire","750","","",NA,"","","","9 km, 12 stations underground. Approx. 17 km metro-like",1975
"Boston","USA","America","The T","1 Sep 1897",60.5,66,60,3,"960 m",20.2,22,"403,000","6,660","147 million",2010,"","right","1435","third rail, overhead wire (Green Line)","600","","",NA,"","yes","","Green and Red Lines' tram section not included",1897
"Brasilia","Brazil","America","Metré","31 Mar 2001",42,24,24,1,"1,826 m",42,24,"151,000","3,590","55 million",2009,"","right","","","","","",NA,"","","","",2001
"Brescia","Italy","Europe","Metro","22 Dec 2012",13.1,17,17,1,"819 m",13.1,17,"","","",NA,"","","","","","metro","",2012,"","","","According to official website",2012
"Brussels","Belgium","Europe","M_tro","20 Sep 1976",32.2,61,59,3,"555 m",10.7,20.3,"364,000","11,300","133 million",2009,"1.53 EUR","right (left on lines 1 and 6 between Midi and Roi Baudouin)","1435","third rail","900","","",NA,"","","line 1","Premetro tunnels not included, 11 stations",1976
"Bucharest","Romania","Europe","Metro","16 Nov 1979",69.3,50,45,4,"1,505 m",17.3,12.5,"468,000","6,770","171 million",2011,"0.40 EUR","right","1435","third rail","825","","",NA,"","","","",1979
"Budapest","Hungary","Europe","Metro","2 May 1896",33,42,40,3,"846 m",11,14,"827,000","25,100","302 million",2011,"0.95 EUR","right","1435","third rail, overhead wire (Line M1)","825, 600 (Line M1)","","",NA,"","","","",1896
"Buenos Aires","Argentina","America","Subte","1 Dec 1913",53.9,85,73,6,"682 m",9,14.2,"844,000","15,700","308 million",2011,"0.24 EUR","left","1435","overhead wire, third rail (Line B)","1500, 1100 (Line B)","","",NA,"","","yes","Premetro line not included",1913
"Buffalo","USA","America","Metro Rail","18 May 1985",8.4,8,8,1,"1,194 m",8.4,8,"","","",NA,"","right","","","","","",NA,"","","","Only tunnel section",1985
"Bursa","Turkey","Asia","Bursaray","19 Aug 2002",31.5,31,31,2,"1,086 m",15.8,15.5,"","","",NA,"","","","","","","",NA,"","","","",2002
"Busan","South Korea","Asia","Subway","19 Jul 1985",133.4,128,120,5,"1,085 m",26.7,25.6,"877,000","6,570","320 million",2012,"","right","","","","Line 4","Line 4",2011,"line 3","","","",1985
"Cairo","Egypt","Africa","Metro","27 Sep 1987",77.9,64,61,3,"1,277 m",26,21.3,"2.29 million","29,400","837 million",2010,"0.14 EUR","left","1435","overhead wire","1500","","",NA,"","5 stations","","",1987
"Caracas","Venezuela","America","Metro","27 Mar 1983",66.5,54,54,6,"1,386 m",11.1,9,"1.33 million","20,000","485 million",2009,"0.31 EUR","","1435","third rail","750","","",NA,"","yes","","Metro Los Teques included (11.2km)",1983
"Catania","Italy","Europe","Metropolitana","27 Jun 1999",3.8,6,6,1,"760 m",3.8,6,"","","",NA,"","right","1435","overhead wire","3000","","",NA,"","","","metroitaliane.it",1999
"Changchun","China","Asia","LRT","Oct 2002",17,16,16,1,"1,133 m",17,16,"","","",NA,"","right","","","","","",NA,"","","","(17 km, 16 stations on viaduct = metro). 14.6 km, 17 st on streets",2002
"Changsha","China","Asia","Metro","29 Apr 2014",26.6,23,23,1,"1,209 m",26.6,23,"","","",NA,"","","","","","","",NA,"","","","",2014
"Charleroi","Belgium","Europe","M_tro L_ger","21 Jun 1976",17.5,23,23,4,"921 m",4.4,5.8,"","","",NA,"","","","","","","",NA,"","","","total length 33,3 km, 12 underground stations, 23 full metro stations. Wiki",1976
"Chengdu","China","Asia","Metro","27 Sep 2010",88.2,70,67,3,"1,316 m",29.4,23.3,"282,000","3,200","103 million",2012,"","right","","","","","",NA,"yes","yes","","http://railway-technology.com/projects/chengdu-metro",2010
"Chennai","India","Asia","MRTS","19 Oct 1997",37,24,24,2,"1,682 m",18.5,12,"","","",NA,"","","","","","","",NA,"","","","",1997
"Chiba","Japan","Asia","Monorail","28 Mar 1988",15.5,18,18,2,"969 m",7.8,9,"","","",NA,"","left","","","","","",NA,"","","","",1988
"Chicago","USA","America","L","6 Jun 1892",166,153,145,8,"1,145 m",20.8,19.1,"608,000","3,660","222 million",2011,"1.58 EUR","right","1435","third rail","600","","",NA,"","yes","","151 Stations and 173 km (UrbanRail.net)",1892
"Chongqing","China","Asia","Monorail","18 Jun 2005",203,118,111,4,"1,780 m",50.7,29.5,"","","",NA,"","right","","","","","",NA,"The three underground stations (Daping, Linjiangmen, and Jiaochangkou) have PSDs","yes","yes","",2005
"Cleveland","USA","America","Rapid Transit","15 Mar 1955",31,18,18,1,"1,824 m",31,18,"16,400","530","6 million",2011,"","right","1435","overhead wire","600","","",NA,"","","","2 Light Rail lines not included",1955
"Cologne","Germany","Europe","Stadtbahn","11 Oct 1968",47.4,55,55,15,"1,185 m",3.2,3.7,"","","",NA,"","right","1435","overhead wire","750","","",NA,"","new light rail trains only","yes","Approx. 45 km metro-like. 30 km underground.",1968
"Copenhagen","Denmark","Europe","Metro","19 Oct 2002",21,22,22,2,"1,050 m",10.5,11,"148,000","7,050","54 million",2011,"2.81 EUR","right","1435","third rail","750","all metro lines","",2002,"all underground stations","all metro and S-Tog trains","yes","According to official website",2002
"Daegu","South Korea","Asia","Subway","26 Nov 1997",81.2,89,86,3,"944 m",27.1,29.7,"348,000","4,290","127 million",2012,"","","","","","","",NA,"lines 1, 2","","","",1997
"Daejeon","South Korea","Asia","Subway","16 Mar 2006",22.6,22,22,1,"1,076 m",22.6,22,"104,000","4,610","38 million",2011,"","","","","","","",NA,"yes","","","",2006
"Dalian","China","Asia","Metro","1 May 2003",141,56,55,4,"2,712 m",35.3,14,"121,000","854","44 million",2012,"","right","","","","","",NA,"","","","Metro and suburban service",2003
"Delhi","India","Asia","Metro","24 Dec 2002",214.9,163,152,7,"1,378 m",30.7,23.3,"1.66 million","7,730","606 million",2011,"0.12 EUR","left","1676, 1435 (Green, Violet lines)","overhead wire","25000","","",NA,"Line 5, Airport Metro Express","yes","yes","Gurgaon metro included",2002
"Detroit","USA","America","People Mover","Jul 1987",4.8,13,13,1,"400 m",4.8,13,"","","",NA,"","right","1435","third rail","600","downtown people mover, LIM technology","",1987,"","yes","","",1987
"Dnepropetrovsk","Ukraine","Europe","Metro","29 Dec 1995",7.1,6,6,1,"1,420 m",7.1,6,"24,700","3,470","9 million",2010,"","","1520","third rail","825","","",NA,"","","","According to Mr. Yuri Popov",1995
"Dortmund","Germany","Europe","Stadtbahn","17 May 1976",29.5,37,37,3,"866 m",9.8,12.3,"","","",NA,"","right","1435","overhead wire","600","H-Bahn","",1984,"","","yes","Rhein-Ruhr Stadtbahn Album 2",1976
"Dubai","United Arab Emirates","Asia","Metro","9 Sep 2009",69.7,47,45,2,"1,549 m",34.8,23.5,"299,000","4,280","109 million",2012,"0.56 EUR","right","1435","third rail","750","metro","",2009,"metro, monorail","yes","yes","",2009
"Duesseldorf","Germany","Europe","Stadtbahn","4 Oct 1981",9.6,14,14,2,"798 m",4.8,7,"","","",NA,"","right","1435","overhead wire","600","","",NA,"","","yes","Rhein-Ruhr Stadtbahn Album 1",1981
"Duisburg","Germany","Europe","Stadtbahn","11 Jul 1992",14.3,13,13,2,"1,304 m",7.2,6.5,"","","",NA,"","right","","","","","",NA,"","","yes","Rhein-Ruhr Stadtbahn Album 1",1992
"Edmonton","Canada","America","Light Rail","22 Apr 1978",20.4,15,15,1,"1,457 m",20.4,15,"","","",NA,"","right","","","","","",NA,"","","","",1978
"Esfahan","Iran","Asia","Urban railway","15 Oct 2015",11.2,10,10,1,"1,244 m",11.2,10,"","","",NA,"","","","","","","",NA,"","","","",2015
"Essen","Germany","Europe","Stadtbahn","5 Oct 1967",20.2,27,27,3,"842 m",6.7,9,"","","",NA,"","right","1435","overhead wire","750","","",NA,"","","yes","Rhein-Ruhr Stadtbahn Album 1",1967
"Frankfurt","Germany","Europe","U-Bahn","4 Oct 1968",20.5,31,27,3,"732 m",6.8,10.3,"","","",NA,"2.30 EUR","right","1435","overhead wire","750","","",NA,"","","yes","20.40 km, 27 stations underground ('Schnellbahnen in Deutschland')",1968
"Fukuoka","Japan","Asia","Subway","26 Jul 1981",29.8,35,34,3,"931 m",9.9,11.7,"340,000","11,400","124 million",2007,"","left","1067","overhead wire","1500","","",NA,"yes","","yes","According to Mr. Osamu Abe",1981
"Gelsenkirchen","Germany","Europe","Stadtbahn","1 Sep 1984",5.5,9,9,1,"690 m",5.5,9,"","","",NA,"","right","1000","overhead wire","600","","",NA,"","","","Rhein-Ruhr Stadtbahn Album 2",1984
"Genoa","Italy","Europe","Metropolitana","13 Jun 1990",7.1,8,8,1,"1,014 m",7.1,8,"","","",NA,"","right","1435","overhead wire","750","","",NA,"","","yes","metroitaliane.it",1990
"Glasgow","United Kingdom","Europe","Subway","14 Dec 1896",10.4,15,15,1,"743 m",10.4,15,"35,600","3,420","13 million",2011,"","left","1219","third rail","600","","",NA,"","","","",1896
"Guadalajara","Mexico","America","Metro","1 Sep 1989",24,29,28,2,"889 m",12,14.5,"","","",NA,"","right","","","","","",NA,"","","","",1989
"Guangzhou","China","Asia","Metro","28 Jun 1999",263.5,171,149,9,"1,627 m",29.3,19,"5 million","19,000","1,825 million",2012,"","right","1435","third rail","825","APM line (underground people mover)","Zhujiang people mover",2010,"yes","yes","yes","APM included (3,9 km +9 stations)",1999
"Gwangju","South Korea","Asia","Subway","28 Apr 2004",20.1,20,20,1,"1,058 m",20.1,20,"49,300","2,450","18 million",2011,"","","","","","","",NA,"yes","","","",2004
"Haifa","Israel","Asia","Carmelit","1959",1.8,6,6,1,"350 m",1.8,6,"","","",NA,"","","","","","","",NA,"","","","",1959
"Hamburg","Germany","Europe","U-Bahn","1 Mar 1912",104.7,99,91,4,"1,102 m",26.2,24.8,"545,000","5,210","199 million",2011,"","right","1435","third rail","750","","",NA,"","DT5 type train sets","DT5 type train sets","According to official website",1912
"Hangzhou","China","Asia","Metro","24 Nov 2012",81.5,57,53,3,"1,509 m",27.2,19,"","","",NA,"","","","","","","",NA,"","","","Wikipedia",2012
"Hanover","Germany","Europe","Stadtbahn","28 Sep 1975",18.6,21,17,3,"1,033 m",6.2,7,"","","",NA,"","right","1435","overhead wire","600","","",NA,"","","yes","18.60 km, 17 stations underground ('Schnellbahnen in Deutschland')",1975
"Harbin","China","Asia","Subway","26 Sep 2013",17.5,18,18,1,"1,029 m",17.5,18,"","","",NA,"","","","","","","",NA,"","","","",2013
"Helsinki","Finland","Europe","Metro","3 Aug 1982",21,17,17,1,"1,313 m",21,17,"170,000","8,090","62 million",2011,"2.10 EUR","right","1524","third rail","750","","",NA,"","","yes","According to Metros in Skandinavien (R.Schwandl)",1982
"Hiroshima","Japan","Asia","Monorail","20 Aug 1994",18.4,22,22,1,"876 m",18.4,22,"49,300","2,680","18 million",2005,"","left","","","","","yes",NA,"","","","According to Mr. Osamu Abe",1994
"Hong Kong","Hong Kong S.A.R.","Asia","MTR","1 Oct 1979",178,97,84,10,"2,046 m",17.8,9.7,"3.96 million","22,200","1,444 million",2012,"0.91 EUR","left","1435","overhead wire","1500 (MTR), 25000 (KCR)","Disneyland Resort Line","SI, WI lines, planned",2005,"all underground stations","yes","yes","",1979
"Incheon","South Korea","Asia","Subway","6 Oct 1999",29.5,29,29,1,"1,054 m",29.5,29,"244,000","8,270","89 million",2012,"","","","","","","",NA,"yes","","","",1999
"Istanbul","Turkey","Europe","Metro","16 Sep 2000",90,70,67,5,"1,385 m",18,14,"214,000","2,370","78 million",2011,"0.63 EUR","right","1435","overhead wire, third rail (Line M2)","750","","",NA,"Seyrantepe station on line M2","some lines","some lines","Wikipedia. Hafif Metro not included (25.8 km, 24 stations, 2 lines)",2000
"Izmir","Turkey","Asia","Metro","22 May 2000",20.1,17,17,1,"1,256 m",20.1,17,"173,000","8,590","63 million",2011,"","","1435","third rail","750","","",NA,"","","","",2000
"Jacksonville","USA","America","Skyway","30 May 1989",6.9,6,6,1,"1,380 m",6.9,6,"","","",NA,"","right","2060","third rail","750","downtown monorail people mover","",1989,"","","","",1989
"Jaipur","India","Asia","Metro","3 Jun 2015",9.6,9,9,1,"1,200 m",9.6,9,"","","",NA,"","","","","","","",NA,"","","","",2015
"Kamakura","Japan","Asia","Monorail","3 Mar 1970",6.6,8,8,1,"943 m",6.6,8,"","","",NA,"","left","","","","","",NA,"","","","Shonan Monorail.",1970
"Kaohsiung","Taiwan","Asia","MRT","9 Mar 2008",45,38,37,2,"1,250 m",22.5,19,"142,000","3,170","52 million",2012,"","","1435","third rail","750","","",NA,"MRT","","","",2008
"Kazan","Russia","Europe","Metro","27 Aug 2005",15.8,10,10,1,"1,756 m",15.8,10,"74,000","4,680","27 million",2012,"","right","","","","","",NA,"","","","According to Mr. Yuri Popov",2005
"Kharkov","Ukraine","Europe","Metro","23 Aug 1975",37.4,29,26,3,"1,438 m",12.5,9.7,"685,000","18,300","250 million",2011,"","right","","","","","",NA,"","","","According to Mr. Yuri Popov",1975
"Kiev","Ukraine","Europe","Metro","22 Oct 1960",67.6,52,49,3,"1,380 m",22.5,17.3,"1.42 million","21,000","519 million",2011,"0.27 EUR","right","1520","third rail","825","","",NA,"","","","",1960
"Kitakyushu","Japan","Asia","Monorail","9 Jan 1985",8.8,13,13,1,"733 m",8.8,13,"","","",NA,"","left","","","","","",NA,"","","yes","",1985
"Kobe","Japan","Asia","Subway","13 Mar 1977",30.6,26,24,2,"1,275 m",15.3,13,"332,000","10,800","121 million",2008,"","left","1435","overhead wire, third rail (Portliner)","1500, 600 (Portliner)","Port Liner and Rokko Liner, rubber-tyred","Port Liner and Rokko Liner",1981,"Port Liner and Rokko Liner","","yes","According to Mr. Osamu Abe. Portliner, Rokko lines not included (15 st)",1977
"Kolkata","India","Asia","Metro Railway","24 Oct 1984",29.7,24,24,1,"1,291 m",29.7,24,"474,000","16,000","173 million",2009,"","right","","","","","",NA,"","","","25 km wikipedia, 27.50 km urbanrail ???",1984
"Kryvyi Rih","Ukraine","Europe","Metrotram","26 Dec 1986",18,12,12,1,"1,636 m",18,12,"","","",NA,"","","","","","","",NA,"","","","",1986
"Kuala Lumpur","Malaysia","Asia","LRT, Monorail","16 Dec 1996",64,60,56,3,"1,123 m",21.3,20,"299,000","4,670","109 million",2008,"0.37 EUR","left","","","","LRT","",1996,"KLIA line to airport, Kelana Jaya line's underground stations","yes","","",1996
"Kunming","China","Asia","Metro","28 Jun 2012",58.5,33,33,3,"1,950 m",19.5,11,"","","",NA,"","","","","","","",NA,"","","yes","",2012
"Kyoto","Japan","Asia","Subway","1 Apr 1981",31.3,32,31,2,"1,043 m",15.6,16,"345,000","11,000","126 million",2008,"","left","1435","overhead wire","1500","","",NA,"Tozai line","","yes","",1981
"Las Vegas","USA","America","Monorail","15 Jul 2004",6.2,7,7,1,"1,033 m",6.2,7,"","","",NA,"","right","","","","monorail","",2004,"yes","","","Hotels monorails not included",2004
"Lausanne","Switzerland","Europe","Metro","24 May 1991",13.7,29,28,2,"507 m",6.8,14.5,"","","",NA,"","","","","","line m2","line m2",2008,"Line m2","","yes","Only m2 is a full metro (27.10.2008: 5.9 km, 14 sta). Line m1: 3 underground stations",1991
"Lille","France","Europe","M_tro","25 Apr 1983",45.5,62,60,2,"758 m",22.8,31,"263,000","5,780","96 million",2009,"","right","2060","third rail","750","VAL","yes",1983,"VAL, all stations","","yes","",1983
"Lima","Peru","America","Tren Urbano","5 Apr 2012",34.4,26,26,1,"1,376 m",34.4,26,"","","",NA,"0.29 EUR","","","","","","",NA,"","","","",2012
"Lisbon","Portugal","Europe","Metro","29 Dec 1959",44.3,55,49,4,"869 m",11.1,13.8,"501,000","11,300","183 million",2010,"0.80 EUR","left","1435","third rail","750","","",NA,"","","yes","",1959
"London","United Kingdom","Europe","Underground","10 Jan 1863",402,270,270,11,"1,552 m",36.5,24.5,"3.21 million","7,980","1,171 million",2011,"2.75 EUR","left","1435","third rail","600, 750 (DLR)","Docklands Light Rail","",1987,"Jubilee Line extension","Metropolitan Line","Metropolitan Line, DLR","DLR not included (31.4 km, 39 stations). East London Line removed (will be assigned to Overground). Overground: 86 km, 55 st.",1863
"Los Angeles","USA","America","Metro Rail","30 Jan 1993",59.3,30,30,3,"2,196 m",19.8,10,"126,000","2,130","46 million",2011,"1.91 EUR","right","1435","overhead wire, third rail (Red, Purple lines)","750","","",NA,"","yes","","Red, Purple and Green lines",1993
"Ludwigshafen","Germany","Europe","Stadtbahn","29 May 1969",4,11,11,0,"364 m",NA,NA,"","","",NA,"","right","","","","","",NA,"","","","Full metro section length unknown.",1969
"Lyon","France","Europe","M_tro","28 Apr 1978",31.8,44,40,4,"795 m",7.9,11,"704,000","22,100","257 million",2009,"1.60 EUR","left","1435","third rail","750","line D/Maggaly, rubber-tyred, no PSDs","yes",1991,"","","","",1978
"Madrid","Spain","Europe","Metro","17 Oct 1919",293,292,232,13,"1,050 m",22.5,22.5,"1.74 million","5,940","635 million",2011,"1.00 EUR","left","1445","overhead wire","600","","",NA,"tests in 2010, plans for 2011","yes","yes","ML1, ML2, ML3 not included (27.8 km, 37 st.; Embajadores=Acacias)",1919
"Malaga","Spain","Europe","Metro","30 Jul 2014",12,17,16,2,"800 m",6,8.5,"","","",NA,"","","","","","","",NA,"","","","",2014
"Manila","Philippines","Asia","MRT","1 Dec 1984",51.5,44,41,3,"1,256 m",17.2,14.7,"948,000","18,400","346 million",2008,"0.18 EUR","right","","","","","",NA,"","yes","yes","Length not sure",1984
"Maracaibo","Venezuela","America","Metro","8 Jun 2009",6.5,6,6,1,"1,300 m",6.5,6,"","","",NA,"","","","","","","",NA,"","yes","","",2009
"Marseille","France","Europe","M_tro","26 Nov 1977",21.8,30,28,2,"779 m",10.9,15,"205,000","9,430","75 million",2011,"","right","1435","third rail","750","","yes",NA,"","","","",1977
"Mashhad","Iran","Asia","","10 Oct 2011",23.5,24,24,1,"1,022 m",23.5,24,"","","",NA,"","","","","","","",NA,"","","","",2011
"Mecca","Saudi Arabia","Asia","Metro","13 Nov 2010",18.1,9,9,1,"2,263 m",18.1,9,"","","",NA,"","right","1435","third rail","1500","","",NA,"yes","yes","yes","",2010
"Medellin","Colombia","America","Metro","30 Nov 1995",28.8,26,25,2,"1,200 m",14.4,13,"466,000","16,200","170 million",2011,"","","1435","overhead wire","1500","","",NA,"","","","Metro Cable not included, 4 stations",1995
"Mexico City","Mexico","America","Metro","5 Sep 1969",180,195,163,12,"984 m",15,16.3,"4.41 million","24,500","1,609 million",2012,"0.14 EUR","right","1995","third rail","750","","yes",NA,"","","","ONLY PASSENGER SERVICE KM COUNTED",1969
"Miami","USA","America","Metrorail","21 May 1984",39.8,23,23,1,"1,809 m",39.8,23,"49,300","1,240","18 million",2011,"1.66 EUR","right","1435","third rail","750","downtown people mover, rubber-tyred","Downtown people mover",1986,"","yes","","Metromover not included (20 stations, 7 km)",1984
"Milan","Italy","Europe","Metropolitana","1 Nov 1964",96.9,113,105,4,"889 m",24.2,28.3,"899,000","9,270","328 million",2007,"1.00 EUR","right","1435","overhead wire, third rail (line M1)","1500, 750 (line M1)","line M5","",2013,"line M5","yes","yes","",1964
"Minsk","Belarus","Europe","Metro","26 Jun 1984",37.2,29,28,2,"1,379 m",18.6,14.5,"770,000","20,700","281 million",2012,"","right","1520","third rail","825","","",NA,"","","","According to Mr. Yuri Popov",1984
"Monterrey","Mexico","America","Metro","25 Apr 1991",31.5,32,31,2,"1,050 m",15.8,16,"378,000","12,000","138 million",2009,"","right","","","","","yes",NA,"","","","",1991
"Montreal","Canada","America","Metro","14 Oct 1966",69.2,73,68,4,"1,003 m",17.3,18.3,"600,000","8,670","219 million",2006,"1.67 EUR","right","1994","third rail","750","","yes",NA,"","","","",1966
"Moscow","Russia","Europe","Metro","15 May 1935",333.6,200,158,12,"1,774 m",27.8,16.7,"6.55 million","19,600","2,389 million",2011,"0.50 EUR","right","1520","third rail","825","","",NA,"","lines 3, 5 since 2009","","Monorail (6 stations, 4.7 km) not included.",1935
"Muelheim","Germany","Europe","Stadtbahn","3 Nov 1979",9,13,12,2,"819 m",4.5,6.5,"","","",NA,"","right","1435","overhead wire","750","","",NA,"","","","Rhein-Ruhr Stadtbahn Album 1",1979
"Mumbai","India","Asia","Suburban Railway","",171,73,73,5,"2,515 m",34.2,14.6,"","","",NA,"0.17 EUR","","","","","","",NA,"","","","In fact, 4 suburban railway lines with metro frequency",NA
"Munich","Germany","Europe","U-Bahn","19 Oct 1971",94.2,102,96,6,"981 m",15.7,17,"986,000","10,500","360 million",2010,"2.30 EUR","right","1435","third rail","750","","",NA,"","","yes","",1971
"Nagoya","Japan","Asia","Subway","15 Nov 1957",93.1,97,86,4,"1,001 m",23.3,24.3,"1.17 million","12,600","427 million",2008,"","left","1435, 1067 (Tsurumai, Sakura-dori lines)","third rail, overhead wire (Tsurumai, Sakura-dori lines)","600, 1500 (Tsurumai, Sakura-dori lines)","Tobu Kyuryo maglev line","",2005,"Tobu Kyuryo maglev line","yes","yes","3 stations +",1957
"Naha","Japan","Asia","Monorail","10 Aug 2003",12.8,15,15,1,"914 m",12.8,15,"","","",NA,"","left","","","","","",NA,"","","","",2003
"Nanchang","China","Asia","Rail Transit","26 Dec 2015",28.7,24,24,1,"1,248 m",28.7,24,"","","",NA,"","","","","","","",NA,"","","","",2015
"Nanjing","China","Asia","Metro","27 Aug 2005",142.3,97,91,4,"1,530 m",35.6,24.3,"942,000","6,620","344 million",2011,"","right","","","","","",NA,"Line 2","yes","yes","",2005
"Naples","Italy","Europe","Metropolitana","28 Mar 1993",34.8,33,29,3,"1,160 m",11.6,11,"95,900","2,760","35 million",2011,"","left","1435","overhead wire","1500","","",NA,"","","","M3 and M4 not included (M3: 12.3 km, 12 sta. M4: 8.3 km, 8 sta.)",1993
"New York","USA","America","Subway","27 Oct 1904",370.4,469,423,27,"838 m",13.7,17.4,"4.53 million","12,200","1,655 million",2012,"1.53 EUR","right","1435","third rail","625, 650 (PATH)","","",NA,"","yes","","According to official website. PATH not included (22.2 km, 13 stations). SIR not included",1904
"Newark","USA","America","Light Rail","26 May 1935",2.2,4,4,1,"733 m",2.2,4,"","","",NA,"","right","","","","","",NA,"","","","4 underground stations",1935
"Newcastle","United Kingdom","Europe","Metro","7 Aug 1980",76.5,61,50,2,"1,297 m",38.3,30.5,"104,000","1,360","38 million",2011,"","left","1435","overhead wire","1500","","",NA,"","","","",1980
"Ningbo","China","Asia","Metro","30 May 2014",49.2,42,41,2,"1,230 m",24.6,21,"","","",NA,"","","","","","","",NA,"Line 1","","","",2014
"Nizhny Novgorod","Russia","Europe","Metro","20 Nov 1985",18.9,15,14,2,"1,454 m",9.4,7.5,"74,000","3,910","27 million",2010,"","right","1520","third rail","825","","",NA,"","","","According to Mr. Yuri Popov",1985
